35108:
 num     #instances         #bytes  class name (module)
 129:           603          19296  org.springframework.core.SerializableTypeWrapper$MethodParameterTypeProvider
 130:           295          18880  java.util.zip.Inflater (java.base@25)
 131:          1177          18832  java.util.concurrent.CopyOnWriteArraySet (java.base@25)
 132:           781          18744  sun.reflect.generics.scope.ClassScope (java.base@25)
 133:           468          18720  java.lang.invoke.MethodTypeForm (java.base@25)
 134:           292          18688  java.security.Provider$Service (java.base@25)
 135:           456          18240  sun.reflect.generics.repository.MethodRepository (java.base@25)
 136:           162          18144  org.springframework.beans.factory.annotation.AnnotatedGenericBeanDefinition
 137:           748          17952  java.util.Collections$SetFromMap (java.base@25)
 138:           744          17856  java.lang.module.ModuleDescriptor$Exports (java.base@25)
 139:          1114          17824  org.springframework.beans.factory.support.MethodOverrides
 140:           358          17184  java.lang.invoke.DirectMethodHandle$Accessor (java.base@25)
 141:           646          16856  [Lorg.springframework.core.annotation.AnnotationTypeMappings;
 142:           645          16832  [Lorg.springframework.core.annotation.MergedAnnotation;
 143:           420          16800  com.fasterxml.jackson.databind.introspect.AnnotatedMethod
 144:           525          16800  org.springframework.core.convert.support.GenericConversionService$ConverterAdapter
 145:           411          16440  io.micrometer.core.instrument.Meter$Id
 146:           684          16416  sun.reflect.generics.tree.ClassSignature (java.base@25)
 147:           340          16320  java.lang.invoke.BoundMethodHandle$Species_LLL (java.base@25)
 148:           136          16320  org.HdrHistogram.PercentileIterator
 149:           998          15968  java.util.concurrent.locks.ReentrantLock (java.base@25)
 150:           664          15936  org.springframework.boot.autoconfigure.condition.ConditionEvaluationReport$ConditionAndOutcome
 151:           664          15936  org.springframework.boot.autoconfigure.condition.ConditionOutcome
 152:           645          15480  org.springframework.core.annotation.MergedAnnotationsCollection
 153:           138          15456  org.springframework.boot.loader.jar.NestedJarFile$NestedJarEntry
 154:           482          15424  sun.reflect.generics.tree.MethodTypeSignature (java.base@25)
 155:           635          15240  org.springframework.beans.BeanMetadataAttribute
 156:           629          15096  io.netty.util.Recycler$DefaultHandle
 157:           265          14840  io.netty.channel.DefaultChannelHandlerContext
 158:           616          14784  java.lang.Long (java.base@25)
 159:           314          14752  [Ljava.lang.reflect.Method; (java.base@25)
 160:           922          14752  java.util.HashSet (java.base@25)
 161:           153          14688  org.apache.ibatis.mapping.MappedStatement
 162:           911          14576  org.springframework.core.convert.support.GenericConversionService$ConvertersForPair
 163:           684          14536  [Lsun.reflect.generics.tree.ClassTypeSignature; (java.base@25)
 164:           258          14448  org.springframework.core.type.classreading.SimpleAnnotationMetadata
 165:           600          14400  org.apache.tomcat.util.http.MimeHeaderField
 166:           136          14144  org.HdrHistogram.RecordedValuesIterator
 167:           563          13512  org.springframework.beans.MutablePropertyValues
 168:           539          12936  jdk.internal.reflect.DirectConstructorHandleAccessor (java.base@25)
 169:           264          12672  java.lang.invoke.MethodHandleImpl$AsVarargsCollector (java.base@25)
 170:           176          12672  org.springframework.core.annotation.AnnotationTypeMapping
 171:           316          12640  sun.nio.fs.WindowsPath (java.base@25)
 172:           170          12240  java.util.ResourceBundle$CacheKey (java.base@25)
 173:           306          12240  org.springframework.web.util.pattern.LiteralPathElement
 174:           254          12192  com.github.benmanes.caffeine.cache.PSWMS
 175:           152          12160  org.springframework.boot.loader.zip.ZipContent
 176:           362          12000  [Ljava.lang.CharSequence; (java.base@25)
 177:           482          11904  [Lsun.reflect.generics.tree.TypeSignature; (java.base@25)
 178:           495          11880  com.github.benmanes.caffeine.cache.TimerWheel$Sentinel
 179:           106          11872  sun.nio.ch.SocketChannelImpl (java.base@25)
 180:           368          11776  io.netty.handler.codec.CodecOutputList
 181:           485          11640  java.util.ImmutableCollections$Set12 (java.base@25)
 182:            55          11528  [D (java.base@25)
