31420:
 num     #instances         #bytes  class name (module)
 127:          1287          20592  org.springframework.core.ResolvableType$DefaultVariableResolver
 128:           505          20200  com.fasterxml.jackson.databind.introspect.AnnotatedMethod
 129:           822          19728  org.apache.commons.logging.LogAdapter$Slf4jLocationAwareLog
 130:           815          19560  java.security.Provider$ServiceKey (java.base@25)
 131:           602          19264  org.springframework.core.SerializableTypeWrapper$MethodParameterTypeProvider
 132:          1177          18832  java.util.concurrent.CopyOnWriteArraySet (java.base@25)
 133:           784          18816  sun.reflect.generics.scope.ClassScope (java.base@25)
 134:           293          18752  java.util.zip.Inflater (java.base@25)
 135:           468          18720  java.lang.invoke.MethodTypeForm (java.base@25)
 136:           292          18688  java.security.Provider$Service (java.base@25)
 137:           460          18400  sun.reflect.generics.repository.MethodRepository (java.base@25)
 138:           162          18144  org.springframework.beans.factory.annotation.AnnotatedGenericBeanDefinition
 139:           752          18048  java.util.Collections$SetFromMap (java.base@25)
 140:           744          17856  java.lang.module.ModuleDescriptor$Exports (java.base@25)
 141:          1114          17824  org.springframework.beans.factory.support.MethodOverrides
 142:           362          17376  java.lang.invoke.BoundMethodHandle$Species_LLL (java.base@25)
 143:           144          17280  org.HdrHistogram.PercentileIterator
 144:           356          17088  java.lang.invoke.DirectMethodHandle$Accessor (java.base@25)
 145:           646          16856  [Lorg.springframework.core.annotation.AnnotationTypeMappings;
 146:           645          16832  [Lorg.springframework.core.annotation.MergedAnnotation;
 147:           525          16800  org.springframework.core.convert.support.GenericConversionService$ConverterAdapter
 148:           417          16680  io.micrometer.core.instrument.Meter$Id
 149:          1034          16544  java.util.concurrent.locks.ReentrantLock (java.base@25)
 150:           686          16464  sun.reflect.generics.tree.ClassSignature (java.base@25)
 151:           512          16384  io.netty.handler.codec.CodecOutputList
 152:           292          16352  io.netty.channel.DefaultChannelHandlerContext
 153:           664          15936  org.springframework.boot.autoconfigure.condition.ConditionEvaluationReport$ConditionAndOutcome
 154:           664          15936  org.springframework.boot.autoconfigure.condition.ConditionOutcome
 155:           486          15552  sun.reflect.generics.tree.MethodTypeSignature (java.base@25)
 156:           645          15480  org.springframework.core.annotation.MergedAnnotationsCollection
 157:           138          15456  org.springframework.boot.loader.jar.NestedJarFile$NestedJarEntry
 158:           635          15240  org.springframework.beans.BeanMetadataAttribute
 159:           144          14976  org.HdrHistogram.RecordedValuesIterator
 160:           153          14688  org.apache.ibatis.mapping.MappedStatement
 161:           686          14576  [Lsun.reflect.generics.tree.ClassTypeSignature; (java.base@25)
 162:           911          14576  org.springframework.core.convert.support.GenericConversionService$ConvertersForPair
 163:           906          14496  java.util.HashSet (java.base@25)
 164:           258          14448  org.springframework.core.type.classreading.SimpleAnnotationMetadata
 165:           600          14400  org.apache.tomcat.util.http.MimeHeaderField
 166:           300          14176  [Ljava.lang.reflect.Method; (java.base@25)
 167:           586          14064  java.lang.Long (java.base@25)
 168:           563          13512  org.springframework.beans.MutablePropertyValues
 169:           128          12800  [Lio.netty.buffer.PoolThreadCache$MemoryRegionCache;
 170:           264          12672  java.lang.invoke.MethodHandleImpl$AsVarargsCollector (java.base@25)
 171:           316          12640  sun.nio.fs.WindowsPath (java.base@25)
 172:           526          12624  jdk.internal.reflect.DirectConstructorHandleAccessor (java.base@25)
 173:           170          12240  java.util.ResourceBundle$CacheKey (java.base@25)
 174:           306          12240  org.springframework.web.util.pattern.LiteralPathElement
 175:           152          12160  org.springframework.boot.loader.zip.ZipContent
 176:            57          12104  [D (java.base@25)
 177:           168          12096  org.springframework.core.annotation.AnnotationTypeMapping
 178:           362          12000  [Ljava.lang.CharSequence; (java.base@25)
 179:           486          11984  [Lsun.reflect.generics.tree.TypeSignature; (java.base@25)
 180:           495          11880  com.github.benmanes.caffeine.cache.TimerWheel$Sentinel
 181:           106          11872  sun.nio.ch.SocketChannelImpl (java.base@25)
 182:           485          11640  java.util.ImmutableCollections$Set12 (java.base@25)
 183:           474          11376  java.util.regex.Pattern$BmpCharProperty (java.base@25)
 184:           280          11200  sun.security.util.KnownOIDs (java.base@25)
 185:           690          11040  com.fasterxml.jackson.databind.introspect.AnnotationMap
 186:           460          11040  sun.reflect.generics.scope.MethodScope (java.base@25)
 187:           341          10912  jdk.internal.math.FDBigInteger (java.base@25)
 188:           340          10880  java.util.ResourceBundle$KeyElementReference (java.base@25)
 189:           113          10848  com.baomidou.mybatisplus.core.metadata.TableFieldInfo
 190:           225          10800  java.util.logging.LogManager$LoggerWeakRef (java.logging@25)
 191:           336          10752  com.mysql.cj.conf.BooleanProperty
 192:           134          10720  java.net.URI (java.base@25)
 193:           268          10720  org.springframework.boot.context.properties.source.ConfigurationPropertyName$Elements
 194:           664          10624  org.springframework.boot.autoconfigure.condition.ConditionMessage
 195:           328          10496  java.util.Collections$UnmodifiableMap (java.base@25)
 196:           437          10488  java.util.ImmutableCollections$List12 (java.base@25)
 197:            50          10400  org.apache.coyote.Request
 198:           320          10240  org.springframework.web.util.pattern.SeparatorPathElement
 199:           319          10208  com.fasterxml.jackson.databind.util.internal.PrivateMaxEntriesMap$Node
 200:           318          10176  java.lang.module.ModuleDescriptor$Requires (java.base@25)
 201:           269          10112  [Lorg.springframework.boot.context.properties.source.ConfigurationPropertyName$ElementType;
 202:           312           9984  java.util.zip.ZipFile$CleanableResource (java.base@25)
 203:           623           9968  java.util.WeakHashMap$KeySet (java.base@25)
 204:           309           9888  org.springframework.boot.loader.jar.NestedJarFileResources
 205:            88           9856  org.springframework.context.annotation.ScannedGenericBeanDefinition
 206:           153           9792  org.apache.ibatis.mapping.ResultMap
 207:           110           9680  com.fasterxml.jackson.databind.ser.BeanPropertyWriter
 208:            12           9664  [Lio.netty.buffer.PoolSubpage;
 209:           301           9632  sun.reflect.generics.reflectiveObjects.TypeVariableImpl (java.base@25)
 210:           291           9312  java.lang.ThreadLocal$ThreadLocalMap$Entry (java.base@25)
 211:           287           9184  org.springframework.boot.loader.zip.FileDataBlock
 212:           191           9168  java.util.concurrent.ConcurrentHashMap$TreeNode (java.base@25)
 213:           227           9080  com.mysql.cj.conf.PropertyKey
 214:           283           9056  org.redisson.client.protocol.RedisCommand
 215:           282           9024  org.redisson.client.protocol.RedisStrictCommand
 216:           371           8904  java.util.LinkedHashMap$LinkedEntrySet (java.base@25)
 217:           550           8800  org.springframework.boot.autoconfigure.condition.ConditionEvaluationReport$ConditionAndOutcomes
 218:           364           8736  com.fasterxml.jackson.databind.type.ClassKey
 219:           135           8640  java.lang.module.ModuleDescriptor (java.base@25)
 220:           268           8576  org.springframework.boot.context.properties.source.ConfigurationPropertyName
 221:           355           8520  java.lang.Double (java.base@25)
 222:           213           8520  java.lang.classfile.Opcode (java.base@25)
 223:           467           8400  [Ljava.lang.annotation.Annotation; (java.base@25)
 224:           150           8400  java.nio.HeapCharBuffer (java.base@25)
 225:            50           8400  org.apache.catalina.connector.Request
 226:            95           8360  java.util.regex.Pattern (java.base@25)
 227:           207           8280  java.lang.reflect.Parameter (java.base@25)
 228:           128           8192  org.springframework.web.method.HandlerMethod
 229:           203           8120  sun.security.pkcs11.SunPKCS11$Descriptor (jdk.crypto.cryptoki@25)
 230:           201           8040  java.lang.invoke.DirectMethodHandle$Interface (java.base@25)
 231:           335           8040  jdk.internal.loader.AbstractClassLoaderValue$Sub (java.base@25)
 232:           334           8016  java.util.ImmutableCollections$SetN (java.base@25)
 233:           330           7920  com.fasterxml.jackson.databind.introspect.MemberKey
 234:           324           7776  org.apache.ibatis.scripting.xmltags.TextSqlNode
 235:           138           7728  org.springframework.boot.loader.zip.ZipCentralDirectoryFileHeaderRecord
 236:           319           7656  com.fasterxml.jackson.databind.util.internal.PrivateMaxEntriesMap$WeightedValue
 237:            87           7656  io.netty.buffer.PooledUnsafeDirectByteBuf
 238:           319           7656  java.util.concurrent.atomic.AtomicLong (java.base@25)
 239:            59           7552  io.netty.util.internal.InternalThreadLocalMap
 240:           310           7440  sun.reflect.generics.tree.FormalTypeParameter (java.base@25)
 241:           463           7408  java.util.Collections$UnmodifiableSet (java.base@25)
 242:           132           7392  jdk.internal.module.ModuleReferenceImpl (java.base@25)
 243:           458           7328  sun.reflect.generics.tree.TypeVariableSignature (java.base@25)
 244:           183           7320  java.lang.invoke.DirectMethodHandle$Special (java.base@25)
 245:           152           7296  java.util.TreeMap (java.base@25)
 246:           227           7264  io.netty.util.AsciiString
 247:           227           7264  java.util.RegularEnumSet (java.base@25)
 248:           302           7248  org.springframework.boot.loader.net.protocol.jar.UrlJarManifest
 249:           150           7200  [Lorg.apache.tomcat.util.http.MimeHeaderField;
 250:           296           7104  javax.management.ObjectName$Property (java.management@25)
 251:           296           7104  org.apache.ibatis.reflection.invoker.MethodInvoker
 252:           249           7040  [Lio.micrometer.core.instrument.Tag;
 253:           293           7032  java.util.zip.Inflater$InflaterZStreamRef (java.base@25)
 254:           291           6984  java.security.Provider$UString (java.base@25)
 255:           216           6912  org.HdrHistogram.ConcurrentHistogram$AtomicLongArrayWithNormalizingOffset
 256:           284           6816  javax.management.ImmutableDescriptor (java.management@25)
 257:           170           6800  java.util.ResourceBundle$BundleReference (java.base@25)
 258:           233           6768  [Ljavax.management.ObjectName$Property; (java.management@25)
 259:           165           6600  java.util.IdentityHashMap (java.base@25)
 260:           162           6480  org.HdrHistogram.WriterReaderPhaser
 261:           133           6384  com.fasterxml.jackson.databind.type.SimpleType
 262:            53           6360  io.netty.util.concurrent.FastThreadLocalThread
 263:            36           6336  org.HdrHistogram.Histogram
 264:           112           6272  com.mysql.cj.conf.BooleanPropertyDefinition
 265:           195           6240  com.mysql.cj.conf.StringProperty
